Material,Description,Length,Wire,Left Terminal,Right Terminal,Left Seal,Right Seal,Material,Description,Length,Wire,Left Terminal,Right Terminal,Left Seal,Right Seal,Length Difference,Comment
S002467004,Circuit 0023 FLRYA 0.5 B,610,C9703930,7116568302,,,,S001887095,Circuit 0032 FLRYA 0.5 B GD135C GD135B,570,C9703930,7116568302,,,,40,Length Difference
S002467009,Circuit 0028 FLRYB 6 B,370,H2806730,,,,,S002004047,Circuit 0026 FLRYB 6 B,360,H2806730,,,,,10,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192680,Circuit 0025 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192801,Circuit 0024 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192680,Circuit 0025 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192801,Circuit 0024 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002473399,Circuit 0021 FLRYB 6 B,400,H2806730,,,,,S002004047,Circuit 0026 FLRYB 6 B,360,H2806730,,,,,40,Length Difference
S003406229,Circuit 0005 FLRYA 0.5 B/G,1590,C9703936,7116697102,,,,S003418605,Circuit 0108 FLRYA 0.5 B/G,1580,C9703936,7116697102,7116410202,,7157337950,10,Length Difference
S003650388,Circuit 0041 FLRYA 0.5 B,970,C9703930,7114654602,7116568302,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,50,Length Difference
S003661235,Circuit 0035 FLRYB 2.5 B,530,H2807030,7114198302,,,,S003470699,Circuit 0001 FLRYB 2.5 B,490,H2807030,7114198302,,,,40,Length Difference
S003661235,Circuit 0035 FLRYB 2.5 B,530,H2807030,7114198302,,,,S003468232,Circuit 0021 FLRYB 2.5 B,485,H2807030,7114198302,,,,45,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,30,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,25,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,30,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,25,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,25,7116568302
S002467618,Circuit 0042 FLRYA 0.75 B,525,C9704030,7114439502,,,,S001887060,Circuit 0027 FLRYA 0.75 B,475,C9704030,7114470802,,,,50,7114439502
S002467618,Circuit 0042 FLRYA 0.75 B,525,C9704030,7114439502,,,,S004551710,Circuit 0079 FLRYA 0.75 B,500,C9704030,7114470802,,,,25,7114439502
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,25,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,25,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,72169241
