|Material  |Material Number           |ICt|Spare|Component |BOM component                    |Item Text Line 1|Item text line 2|Quantity|Un|
|S000632712|Circuit 0038 FLRYA 0.35 B             |L  |     |C9706930  |LT Single Wire FLRYA 0.35 B             |                |                |  1 710 |MM|
|S000632712|Circuit 0038 FLRYA 0.35 B             |L  |L    |7116567802|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000632712|Circuit 0038 FLRYA 0.35 B             |L  |R    |7116415002|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S000632712|Circuit 0038 FLRYA 0.35 B             |L  |R    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S000741338|Circuit 0019 FLRYB 6 B                |L  |     |H2806730  |LT Single Wire FLRYB 6 B                |                |                |    515 |MM|
|S000741338|Circuit 0019 FLRYB 6 B                |X  |     |          |                                        |KS74780130      |L               |      1 |PC|
|S000741338|Circuit 0019 FLRYB 6 B                |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S001192680|Circuit 0025 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |  1 735 |MM|
|S001192680|Circuit 0025 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001192680|Circuit 0025 FLRYB 2.5 B              |L  |R    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S001192680|Circuit 0025 FLRYB 2.5 B              |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001192801|Circuit 0024 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |  1 735 |MM|
|S001192801|Circuit 0024 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001192801|Circuit 0024 FLRYB 2.5 B              |L  |R    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S001192801|Circuit 0024 FLRYB 2.5 B              |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001193830|Circuit 0021 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |  1 740 |MM|
|S001193830|Circuit 0021 FLRYB 2.5 B              |L  |L    |7116427202|Terminal YESC Kaizen Female 2.8mm Unseal|                |                |      1 |PC|
|S001193830|Circuit 0021 FLRYB 2.5 B              |L  |R    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S001193830|Circuit 0021 FLRYB 2.5 B              |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001195686|Circuit 0020 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |  1 740 |MM|
|S001195686|Circuit 0020 FLRYB 2.5 B              |L  |L    |7116427202|Terminal YESC Kaizen Female 2.8mm Unseal|                |                |      1 |PC|
|S001195686|Circuit 0020 FLRYB 2.5 B              |L  |R    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S001195686|Circuit 0020 FLRYB 2.5 B              |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001545828|Circuit 0001 FLRYA 1 B                |L  |     |C9706030  |LT Single Wire FLRYA 1 B                |                |                |  1 585 |MM|
|S001545828|Circuit 0001 FLRYA 1 B                |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545828|Circuit 0001 FLRYA 1 B                |L  |R    |7116631602|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545828|Circuit 0001 FLRYA 1 B                |L  |L    |7158303190|Single Wire Seal Blue                   |                |                |      1 |PC|
|S001545829|Circuit 0002 FLRYA 1 B                |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545829|Circuit 0002 FLRYA 1 B                |L  |R    |7116631602|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545829|Circuit 0002 FLRYA 1 B                |L  |L    |7158303190|Single Wire Seal Blue                   |                |                |      1 |PC|
|S001545829|Circuit 0002 FLRYA 1 B                |L  |     |C9706030  |LT Single Wire FLRYA 1 B                |                |                |  1 585 |MM|
|S001545831|Circuit 0008 FLRYA 0.5 B              |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545831|Circuit 0008 FLRYA 0.5 B              |L  |R    |7116631502|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545831|Circuit 0008 FLRYA 0.5 B              |L  |L    |7158303050|Single Wire Seal Red                    |                |                |      1 |PC|
|S001545831|Circuit 0008 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 585 |MM|
|S001545832|Circuit 0010 FLRYA 1 B                |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545832|Circuit 0010 FLRYA 1 B                |L  |R    |7116631602|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545832|Circuit 0010 FLRYA 1 B                |L  |L    |7158303190|Single Wire Seal Blue                   |                |                |      1 |PC|
|S001545832|Circuit 0010 FLRYA 1 B                |L  |     |C9706030  |LT Single Wire FLRYA 1 B                |                |                |  1 585 |MM|
|S001545836|Circuit 0005 FLRYA 0.5 B              |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545836|Circuit 0005 FLRYA 0.5 B              |L  |R    |7116631502|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545836|Circuit 0005 FLRYA 0.5 B              |L  |L    |7158303050|Single Wire Seal Red                    |                |                |      1 |PC|
|S001545836|Circuit 0005 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 585 |MM|
|S001545839|Circuit 0012 FLRYA 0.5 B              |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001545839|Circuit 0012 FLRYA 0.5 B              |L  |R    |7116631502|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001545839|Circuit 0012 FLRYA 0.5 B              |L  |L    |7158303050|Single Wire Seal Red                    |                |                |      1 |PC|
|S001545839|Circuit 0012 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 585 |MM|
|S001550826|Circuit 0023 FLRYB 6 B                |L  |     |H2806730  |LT Single Wire FLRYB 6 B                |                |                |    530 |MM|
|S001550826|Circuit 0023 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |L               |      1 |PC|
|S001550826|Circuit 0023 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001550837|Circuit 0035 FLRYA 0.5 B GD135C       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001550837|Circuit 0035 FLRYA 0.5 B GD135C       |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001550837|Circuit 0035 FLRYA 0.5 B GD135C       |L  |L    |7158303050|Single Wire Seal Red                    |                |                |      1 |PC|
|S001550837|Circuit 0035 FLRYA 0.5 B GD135C       |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 175 |MM|
|S001550883|Circuit 0022 FLRYB 6 B                |L  |     |H2806730  |LT Single Wire FLRYB 6 B                |                |                |    480 |MM|
|S001550883|Circuit 0022 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |L               |      1 |PC|
|S001550883|Circuit 0022 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001556406|Circuit 0028 FLRYB 6 B                |L  |     |H2806730  |LT Single Wire FLRYB 6 B                |                |                |    555 |MM|
|S001556406|Circuit 0028 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |L               |      1 |PC|
|S001556406|Circuit 0028 FLRYB 6 B                |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001558488|Circuit 0001 FLRYA 0.5 B/GY           |L  |     |C9703916  |LT Single Wire FLRYA 0.5 B/GY           |                |                |  1 110 |MM|
|S001558488|Circuit 0001 FLRYA 0.5 B/GY           |L  |L    |71161225  |Terminal 040 Female 1.0mm Unsealed      |                |                |      1 |PC|
|S001558488|Circuit 0001 FLRYA 0.5 B/GY           |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001558489|Circuit 0002 FLRYA 0.5 W/V            |L  |L    |71161225  |Terminal 040 Female 1.0mm Unsealed      |                |                |      1 |PC|
|S001558489|Circuit 0002 FLRYA 0.5 W/V            |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001558489|Circuit 0002 FLRYA 0.5 W/V            |L  |     |C97039C1  |LT Single Wire FLRYA 0.5 W/V            |                |                |  1 110 |MM|
|S001887056|Circuit 0020 FLRYB 2.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887056|Circuit 0020 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001887056|Circuit 0020 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |    130 |MM|
|S001887057|Circuit 0023 FLRYB 2.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887057|Circuit 0023 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001887057|Circuit 0023 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |    160 |MM|
|S001887060|Circuit 0027 FLRYA 0.75 B             |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887060|Circuit 0027 FLRYA 0.75 B             |L  |L    |7114470802|Terminal MX 150 Male 1.5mm Unsealed     |                |                |      1 |PC|
|S001887060|Circuit 0027 FLRYA 0.75 B             |L  |     |C9704030  |LT Single Wire FLRYA 0.75 B             |                |                |    475 |MM|
|S001887061|Circuit 0029 FLRYA 0.75 B             |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887061|Circuit 0029 FLRYA 0.75 B             |L  |L    |7116820202|Terminal 110 Female 2.8mm Unsealed      |                |                |      1 |PC|
|S001887061|Circuit 0029 FLRYA 0.75 B             |L  |     |C9704030  |LT Single Wire FLRYA 0.75 B             |                |                |    550 |MM|
|S001887062|Circuit 0031 FLRYA 0.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887062|Circuit 0031 FLRYA 0.5 B              |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001887062|Circuit 0031 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |    550 |MM|
|S001887081|Circuit 0028 FLRYA 0.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887081|Circuit 0028 FLRYA 0.5 B              |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001887081|Circuit 0028 FLRYA 0.5 B              |L  |L    |7157337950|Single Wire Seal Pink                   |                |                |      1 |PC|
|S001887081|Circuit 0028 FLRYA 0.5 B              |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |  1 700 |MM|
|S001887087|Circuit 0020 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |    135 |MM|
|S001887087|Circuit 0020 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001887087|Circuit 0020 FLRYB 2.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887090|Circuit 0023 FLRYB 2.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887090|Circuit 0023 FLRYB 2.5 B              |L  |L    |7116820302|Terminal DCS-1 Female 2.8mm Sealed      |                |                |      1 |PC|
|S001887090|Circuit 0023 FLRYB 2.5 B              |L  |     |H2807030  |LT Single Wire FLRYB 2.5 B              |                |                |    175 |MM|
|S001887095|Circuit 0032 FLRYA 0.5 B GD135C GD135B|X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001887095|Circuit 0032 FLRYA 0.5 B GD135C GD135B|L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001887095|Circuit 0032 FLRYA 0.5 B GD135C GD135B|L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |    570 |MM|
|S001908434|Circuit 0022 FLRYB 2.5 B              |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001908434|Circuit 0022 FLRYB 2.5 B              |L  |L    |7116427202|Terminal YESC Kaizen Female 2.8mm Unseal|                |                |      1 |PC|
