|S000510748|Circuit 0030 FLRYA 1.5 V/W       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000510748|Circuit 0030 FLRYA 1.5 V/W       |L  |L    |7116357202|Terminal 187 Female 4.8mm Unsealed      |                |                |      1 |PC|
|S000510748|Circuit 0030 FLRYA 1.5 V/W       |L  |     |C9706533  |LT Single Wire FLRYA 1.5 V/W            |                |                |    250 |MM|
|S000510753|Circuit 0053 FLRYB 4 GY/V        |L  |     |H28068K2  |LT Single Wire FLRYB 4 GY/V             |                |                |    150 |MM|
|S000510753|Circuit 0053 FLRYB 4 GY/V        |L  |L    |71162887  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000510753|Circuit 0053 FLRYB 4 GY/V        |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000510754|Circuit 0054 FLRYB 4 GY/V        |L  |     |H28068K2  |LT Single Wire FLRYB 4 GY/V             |                |                |    150 |MM|
|S000510754|Circuit 0054 FLRYB 4 GY/V        |L  |L    |7126882302|Fuse Terminal                           |                |                |      1 |PC|
|S000510754|Circuit 0054 FLRYB 4 GY/V        |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000510755|Circuit 0055 FLRYB 4 GY/V        |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000510755|Circuit 0055 FLRYB 4 GY/V        |L  |L    |7126882202|Fuse Terminal                           |                |                |      1 |PC|
|S000510755|Circuit 0055 FLRYB 4 GY/V        |L  |     |H28068K2  |LT Single Wire FLRYB 4 GY/V             |                |                |    150 |MM|
|S000510759|Circuit 0070 FLRYB 6 V/W         |L  |     |H2806733  |LT Single Wire FLRYB 6 V/W              |                |                |    150 |MM|
|S000510759|Circuit 0070 FLRYB 6 V/W         |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000510759|Circuit 0070 FLRYB 6 V/W         |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
