28.10.2021                                                           PP BOM Evaluation                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
PP BOM Evaluation
--------------------------------------------------------------------------------------------------------------------------------------------------------
|Material  |Material Number                |ICt|Spare|Component |BOM component                           |Item Text Line 1|Item text line 2|Quantity|Un|
--------------------------------------------------------------------------------------------------------------------------------------------------------
|S000481325|Circuit 0002 FLRYA 0.5 W/BR    |L  |     |C9703948  |LT Single Wire FLRYA 0.5 W/BR           |                |                |  1 085 |MM|
|S000481325|Circuit 0002 FLRYA 0.5 W/BR    |L  |L    |7116410202|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S000481325|Circuit 0002 FLRYA 0.5 W/BR    |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000481325|Circuit 0002 FLRYA 0.5 W/BR    |L  |L    |7157337950|Single Wire Seal Pink                   |                |                |      1 |PC|
|S000501023|Circuit 0015 FLRYA 0.5 BR      |L  |     |C9703980  |LT Single Wire FLRYA 0.5 BR             |                |                |    895 |MM|
|S000501023|Circuit 0015 FLRYA 0.5 BR      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000501023|Circuit 0015 FLRYA 0.5 BR      |L  |R    |7196093902|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
|S000505501|Circuit 0001 FLRYA 0.75 W/V    |L  |     |C97040C1  |LT Single Wire FLRYA 0.75 W/V           |                |                |    275 |MM|
|S000505501|Circuit 0001 FLRYA 0.75 W/V    |L  |L    |7196093702|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
|S000505501|Circuit 0001 FLRYA 0.75 W/V    |L  |R    |7114439502|Terminal GET Male 0.64mm Unsealed       |                |                |      1 |PC|
|S000509181|Circuit 0008 FLRYA 0.5 Y/GY    |L  |L    |7116350802|Terminal Other Female 0.64mm Unsealed   |                |                |      1 |PC|
|S000509181|Circuit 0008 FLRYA 0.5 Y/GY    |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000509181|Circuit 0008 FLRYA 0.5 Y/GY    |L  |     |C9703915  |LT Single Wire FLRYA 0.5 Y/GY           |                |                |    925 |MM|
|S000509182|Circuit 0018 FLRYA 0.5 V/G     |L  |L    |7116350802|Terminal Other Female 0.64mm Unsealed   |                |                |      1 |PC|
|S000509182|Circuit 0018 FLRYA 0.5 V/G     |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
